date,amount_weekly
2018-04-09,2496.4258025384497
2018-04-10,2501.1143103296586
2018-04-11,2505.807364230757
2018-04-12,2510.504964659329
2018-04-13,2510.4748314835037
2018-04-14,2510.4404465933944
2018-04-15,2512.649259714273
2018-04-16,2510.484136153833
2018-04-17,2510.687438241746
2018-04-18,2510.8865033699503
2018-04-19,2511.0813311208667
2018-04-20,2506.547044461525
2018-04-21,2502.0167003662873
2018-04-22,2497.4902992527336
2018-04-23,2495.3241438461405
2018-04-24,2495.512097728924
2018-04-25,2495.695812703283
2018-04-26,2495.8752883516345
2018-04-27,2491.3542862051145
2018-04-28,2486.8372285714145
2018-04-29,2482.3241158681176
2018-04-30,2480.1569286153704
2018-05-01,2482.580280219766
2018-05-02,2487.256735296689
2018-05-03,2491.9377385714142
2018-05-04,2491.9259747692163
2018-05-05,2491.9099575824025
2018-05-06,2491.889686593391
2018-05-07,2494.220421461523
2018-05-08,2498.9087648351497
2018-05-09,2503.6016579377133
2018-05-10,2508.299101186798
2018-05-11,2508.272964999984
2018-05-12,2508.242573479838
2018-05-13,2508.207926208775
2018-05-14,2510.539692923061
2018-05-15,2517.496264761888
2018-05-16,2517.699833406577
2018-05-17,2517.8991610549288
2018-05-18,2513.3565346886276
2018-05-19,2508.8178545054784
2018-05-20,2504.28312092306
2018-05-21,2502.115049230752
2018-05-22,2502.3074975824006
2018-05-23,2502.4957034065765
2018-05-24,2502.679666285697
2018-05-25,2498.150337098884
2018-05-26,2493.6249560439387
2018-05-27,2489.103523538444
2018-05-28,2486.9344199999823
2018-05-29,2487.111500659323
2018-05-30,2487.2843368424724
2018-05-31,2487.4529281318505
2018-06-01,2487.447233377271
2018-06-02,2487.4372817582234
2018-06-03,2487.423072857124
2018-06-04,2489.7556503076735
2018-06-05,2494.4416219780032
2018-06-06,2499.132146857124
2018-06-07,2503.8272253626183
2018-06-08,2503.807146043937
2018-06-09,2503.7828079120686
2018-06-10,2503.7542105494313
2018-06-11,2506.087819846134
2018-06-12,2510.790246593387
2018-06-13,2515.4972284981486
2018-06-14,2520.2087659780022
2018-06-15,2522.4304942856934
2018-06-16,2517.881417509137
2018-06-17,2513.336290813166
2018-06-18,2511.166376538441
2018-06-19,2511.3655276190275
2018-06-20,2511.5604326922867
2018-06-21,2511.751091340639
2018-06-22,2507.2113742600523
2018-06-23,2502.675608791188
2018-06-24,2498.143795351627
2018-06-25,2495.972849230748
2018-06-26,2496.1566204395394
2018-06-27,2496.3361436922864
2018-06-28,2496.511418571407
2018-06-29,2491.9850176703085
2018-06-30,2487.4625703296488
2018-07-01,2485.197202263714
2018-07-02,2487.531695999978
2018-07-03,2492.2174857142636
2018-07-04,2496.9078322563882
2018-07-05,2501.6027360439334
2018-07-06,2501.586671252725
2018-07-07,2501.566344029281
2018-07-08,2501.5417539560212
2018-07-09,2503.8772795384384
2018-07-10,2508.5795369963143
2018-07-11,2513.286353230746
2018-07-12,2517.9977286593175
2018-07-13,2517.9672598168263
2018-07-14,2517.932526593383
2018-07-15,2520.1476857142616
2018-07-16,2517.975855153822
2018-07-17,2518.1795182417345
2018-07-18,2518.3789317032724
2018-07-19,2518.5740951208554
2018-07-20,2514.0260334615136
2018-07-21,2509.481927032943
2018-07-22,2504.9417762527223
2018-07-23,2502.7689138461296
2018-07-24,2502.9571843955796
2018-07-25,2503.1412033699385
2018-07-26,2503.3209703516236
2018-07-27,2498.7862375384366
2018-07-28,2494.2554619047364
2018-07-29,2489.7286438681067
2018-07-30,2487.554749615359
2018-07-31,2487.7276208058356
2018-08-01,1500.0
2018-08-02,1500.0
2018-08-03,1500.0
2018-08-04,1500.0
2018-08-05,1500.0
2018-08-06,1500.0
2018-08-07,2504.1025823442956
2018-08-08,2508.8070210988744
2018-08-09,2513.516022527446
2018-08-10,2513.491619809497
2018-08-11,2513.4629492307427
2018-08-12,2513.430010373599
2018-08-13,2515.7684103845877
2018-08-14,2520.4847736263464
2018-08-15,2527.4664044761626
2018-08-16,2527.668285098873
2018-08-17,2523.1098141098623
2018-08-18,2518.5553018314736
2018-08-19,2514.004748681291
2018-08-20,2511.8300436922796
2018-08-21,2512.0250262270783
2018-08-22,2512.215753706931
2018-08-23,2512.4022257142574
2018-08-24,2507.8570957508873
2018-08-25,2503.315926446858
2018-08-26,2498.778718219751
2018-08-27,2496.6029813845867
2018-08-28,2496.782552380924
2018-08-29,2496.9578663735974
2018-08-30,2497.128922945026
2018-08-31,2492.5971408278097
2018-09-01,2492.5889749450257
2018-09-02,2492.5765392527182
2018-09-03,2494.91574999997
2018-09-04,2499.6132338461243
2018-09-05,2504.315283428541
2018-09-06,2509.0218991648053
2018-09-07,2509.0035742637056
2018-09-08,2508.980978021948
2018-09-09,2508.954110021947
2018-09-10,2511.294352615354
2018-09-11,2516.0083353845844
2018-09-12,2520.7268858387965
2018-09-13,2525.4500043955736
2018-09-14,2525.417244263705
2018-09-15,2527.641070476159
2018-09-16,2523.0801032637046
2018-09-17,2520.9035556922763
2018-09-18,2521.1052619047305
2018-09-19,2521.302709582386
2018-09-20,2521.4958983076604
2018-09-21,2516.9403595017993
2018-09-22,2512.388784835133
2018-09-23,2507.841174725243
2018-09-24,2505.6635953076598
2018-09-25,2505.849877802166
2018-09-26,2506.031899813154
2018-09-27,2506.2096609230443
2018-09-28,2501.667482142824
2018-09-29,2497.1292694505173
2018-09-30,2492.5950232637033
2018-10-01,2492.6763179999666
2018-10-02,2497.3736052746926
2018-10-03,2501.4828176190144
2018-10-04,2505.594408923044
2018-10-05,2504.986441714252
2018-10-06,2504.374249084216
2018-10-07,2503.757833648318
2018-10-08,2505.5031121977686
2018-10-09,2509.6150288644353
2018-10-10,2513.7293149010657
2018-10-11,2517.845967692274
2018-10-12,2517.2199893552774
2018-10-13,2516.5897978021644
2018-10-14,2515.9553956483182
2018-10-15,2519.94819028568
2018-10-16,2519.555526373593
2018-10-17,2519.158556835131
2018-10-18,2518.7572842856807
2018-10-19,2513.6135143296365
2018-10-20,2508.47589384612
2018-10-21,2503.344420219746
2018-10-22,2500.5803565164497
2018-10-23,2500.175872527439
2018-10-24,2499.7670951171817
2018-10-25,2499.354026901065
2018-10-26,2494.235002252713
2018-10-27,2489.1221148717614
2018-10-28,2484.015362142823
2018-10-29,2481.257761054911
2018-10-30,2480.8414997069262
2018-10-31,2480.420957142823
2018-11-01,2484.5011244175485
2018-11-02,2483.901456879087
2018-11-03,2483.2975857142515
2018-11-04,2482.6895135384275
2018-11-05,2484.4232517032624
2018-11-06,2488.5037116483177
2018-11-07,2492.586519168464
2018-11-08,2496.671671648318
2018-11-09,2496.054069263702
2018-11-10,2495.4322754578416
2018-11-11,2534.723193531657
2018-11-12,2496.53356839557
2018-11-13,2500.6189952380605
2018-11-14,2504.706757450515
2018-11-15,2511.0428657142506
2018-11-16,2505.917921985313
2018-11-17,2500.7991059340316
2018-11-18,2495.68641494502
2018-11-19,2492.933891626339
2018-11-20,2492.533738461504
2018-11-21,2492.129313670295
2018-11-22,2491.720619868097
2018-11-23,2486.6203451648007
2018-11-24,2481.526185934031
2018-11-25,2476.4381395604046
2018-11-26,2473.692078857108
2018-11-27,2473.2802246153506
2018-11-28,2472.864110952346
2018-11-29,2472.443740483482
2018-11-30,2467.3680920878774
2018-12-01,2464.5329376556433
2018-12-02,2463.9305659779875
2018-12-03,2465.652302142822
2018-12-04,2469.703023589709
2018-12-05,2473.7560699450196
2018-12-06,2477.8114385933723
2018-12-07,2477.1995707069245
2018-12-08,2476.5835340658996
2018-12-09,2475.9633312856786
2018-12-10,2477.6786048351296
2018-12-11,2481.7342138461186
2018-12-12,2503.192680509327
2018-12-13,2489.852367362602
2018-12-14,2489.222686681283
2018-12-15,2490.816771428536
2018-12-16,2485.725499736228
2018-12-17,2482.9849784175467
2018-12-18,2482.5874439560084
2018-12-19,2482.185660534763
2018-12-20,2481.7796307691956
2018-12-21,2476.700741362602
2018-12-22,2471.6279447618695
2018-12-23,2466.5612383516127
2018-12-24,2463.827179648316
2018-12-25,2463.4180234431883
